,tweetid,user,content,date,lang,sentiment
0,767817507897872385,71463624,"— ¿Nivel de inglés? — Alto. — Traduzca juguete. — Toy. — Úselo en una oración. — Toy triste. — Awww, vengache pa' acá. —",Mon Aug 22 20:15:33 +0000 2016,es,NEU
1,772486813948575745,572924309,"Si soy de área 4 y con suerte pase mate IV y mate V ¿por que me ponen al profe qlero que es mega difícil pasar con el, en mi último año?",Sun Sep 04 17:29:43 +0000 2016,es,N
2,771871884451295233,158142748,Sabían que su after fav Teatro G. fue construido para mi y un día de estos (hoy) les voy a dar el placer de que me vean ahí metido !!,Sat Sep 03 00:46:12 +0000 2016,es,P
3,771947976302456832,132254421,"Y hoy por primera vez me salí con el permiso de mi mujer pero no es eso el detalle, si no saber q estarán a mi lado y q llegaré a casa",Sat Sep 03 05:48:34 +0000 2016,es,P
4,774741645484896256,105530236,"¿Para qué hacen coraje con Ambriz?, al final no lo van a correr y saldrá con su típica frase: ""La culpa es mía, no de los jugadores""",Sat Sep 10 22:49:36 +0000 2016,es,N
5,773634625126043649,153941006,- Yo Mamá por qué nunca en dejaste disfrutar mi juventud? Ya tengo 30 - Mamá Felipe llegabas borracho a los 17 años - Yo Ayñ mamá!!,Wed Sep 07 21:30:42 +0000 2016,es,N
6,774269209933066240,439622331,Eso de no poder dormir y despertar en la madrugada se está volviendo muy recurrente y no está padre!! >.; yo no era así.,Fri Sep 09 15:32:19 +0000 2016,es,N
7,773082982286434304,124661577,"- ¿Qué me estás arrimando? - Algo que te gusta mucho y está en mi entrepierna. - Amor, guarda ese pepino, tú pene no es tan grande. - Ay",Tue Sep 06 08:58:40 +0000 2016,es,N
8,769234024128585728,143502210,"Lejos, lejos, muy lejos...manejar hasta acá esta padre! Algo diferente q mal q ya no está la feria del caballo pq si no, me quedaba jaja!",Fri Aug 26 18:04:17 +0000 2016,es,NEU
9,769394693184581636,3021645558,"Y fue como ""¿Viste cuantos akatsukis salen?"", ""¿Y Gaara?"", ""¿Y el imbécil de Sasuke?"". Fue como el TODO ese primer episiodio",Sat Aug 27 04:42:44 +0000 2016,es,N
10,757112369646448640,65789674,"Mi vida es un eterno dilema entre ""mejor me duermo y mañana termino"" e ""'ingue su, me vo'a desvelar hasta morir y lo acabo de una vez"".",Sun Jul 24 07:17:10 +0000 2016,es,N
11,757428070265425920,288870836,"Iba a ir a dash pero mis 3 cortadas, mi color de piel (color langosta) y mis 5 horas de sueño en 2 días, no me lo permitieron.",Mon Jul 25 04:11:38 +0000 2016,es,N
12,757049884696469506,1110399944,"¿Cómo que no voy a ver a Sputnik, tampoco me voy a ir a aguascalientes, los Rebel ya tocaron y a Little va mi ex? Y los boletos de la WWE",Sun Jul 24 03:08:52 +0000 2016,es,N
13,755832629602111488,174736872,"Buen dia! Elige q cada uno de tus dias sea un milagro! que su dia este lleno de armonia, luz, amor y buenas vibras! Yo elijo ser feliz!",Wed Jul 20 18:31:56 +0000 2016,es,P
