,tweetid,user,content,date,lang,sentiment
0,768529421548609536,293627746,"Yo espero tranquila. Si gana de nvo alg partido tradicional, después sé q podré pasarla mal, pero tamb me voy a reír bastante.",Wed Aug 24 19:24:27 +0000 2016,es,NEU
1,771028255629512706,35709180,"Los fracasos de Michelle, Cristina y Dilma muestra que no sólo las izquierdas no son mejores, sino que las mujeres tp gobiernan tan bien",Wed Aug 31 16:53:55 +0000 2016,es,N
2,771055632854183940,146577758,Debemos orar por los hnos venezolanos gente q es rehén hoy de la crisis en su país.Yo tengo amigos venezolanos q me preocupan en serio...,Wed Aug 31 18:42:43 +0000 2016,es,N
3,770138191689093122,355883744,Me dijo que no le había gustado no se cuantas cosas pero me estuvo hablando todo el tiempo de eso JAJAJAJJA no entiendo loco,Mon Aug 29 05:57:08 +0000 2016,es,NEU
4,769716104491040768,2701106364,@susanagkp jajaja yo fui el viernes ! precavido pero el finde pasado no fui a la feria y quería ir pero ya veo que toca esperar...,Sun Aug 28 01:59:54 +0000 2016,es,N
5,772422073620856834,2701106364,iba a ir a la feria pero me encuentro que llovió y esta bastante feo así que procedo a meterme en la cama otro rato,Sun Sep 04 13:12:27 +0000 2016,es,N
6,771900782958575616,2701106364,@VirginiaBfo en ese baile conocí a mi ex y esa fue mi ruina ! y trabajé en un baile muy bueno desde los 21 a los 28,Sat Sep 03 02:41:02 +0000 2016,es,N
7,772608649332129792,3351183406,necesito un amigo que me acompañe al oftalmólogo porque me voy a quedar ciega por unas horas igual si no pueden voy sola está bien,Mon Sep 05 01:33:51 +0000 2016,es,NEU
8,772598157607854081,548971015,"Está demás porque mucha gente piensa que soy lesbiana. Saben donde se pueden meter sus estereotipos no? Si, ahí donde no les llega el sol",Mon Sep 05 00:52:09 +0000 2016,es,N
9,772915368696381440,2701106364,@letifcosta @letsgroove27 le dijo que estaba pronta pero que se iba a cambiar y que era hora de que el se fuera....de su vida ! + o -,Mon Sep 05 21:52:38 +0000 2016,es,N
10,772140138302410752,35709180,"@mvdsister Para mí son los sábados. Entre semana no estoy por ahí. La bondiola y el carpaccio de salmón, con entrada de jamón ibérico",Sat Sep 03 18:32:09 +0000 2016,es,NONE
11,773274291697778689,293627746,"Bnas tardes/ noches a todos, mis amigos! Otro partido de la celeste q me pierdo x el trabajo. Espero q esta vez tengamos mejor result!",Tue Sep 06 21:38:52 +0000 2016,es,NEU
12,773927605091393536,769303590221541376,@Exidax no seas tan bueno,Thu Sep 08 16:54:54 +0000 2016,es,NEU
13,774008937339289600,191488436,No quiero hacerme otra credencial,Thu Sep 08 22:18:05 +0000 2016,es,N
14,774692882506715136,48771072,"@veronica_alonso @RamelaCarlos dice q no existe clase media de donde cree q sale $$ para las subvenciones, de Disney?, ah no, tampoco.",Sat Sep 10 19:35:50 +0000 2016,es,N
